generation,gain_enemy_2,gain_enemy_4,gain_enemy_6,kill_enemy_2,kill_enemy_4,kill_enemy_6,sigma_0,sigma_1,sigma_2,sigma_3
0,-77.5,-95.0,-100.0,0.0,0.0,0.0,0.08188098445212495,0.07092226680297088,0.011034197601557062,0.028478177443793874
0,-97.5,-82.5,-97.5,0.0,0.0,0.0,0.05708903561282445,0.008433631941753296,0.08571008414853531,0.012415607190033784
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.04896162037631399,0.019328398311101527,0.04566585377350945,0.00851794937989252
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.06300999874129767,0.05254276181790404,0.03555297636202164,0.0962227516659026
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.007787283171755821,0.08914983126750275,0.043482543311022206,0.045252579162336784
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09767776282137036,0.04458802368017642,0.07911857505151826,0.09813836549491195
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.01266802781882549,0.016748942505214193,0.024450119453297583,0.05057041589680059
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.011702445076107494,0.07181060092786197,0.019893270763727468,0.09332281012896877
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.013151621930924819,0.04399270698970309,0.08010676993939242,0.01678341326029479
0,13.0,-90.0,-95.0,0.5,0.0,0.0,0.01005963735963148,0.00032387951614756274,0.03780135480667384,0.022774295632855504
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.08144827905192314,0.08918453140525034,0.060680529474428736,0.028848957066409733
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.026056873262294146,0.0746966678662207,0.025146789588540365,0.03606471606120663
0,-25.0,-35.0,-80.0,0.0,0.0,0.0,0.005967414329933885,0.09163560707118767,0.05182041946519908,0.016124959083130375
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09367024175584317,0.04978933453715911,0.0457865132790306,0.08989362599369206
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09813335838731185,0.07189575290020947,0.09017970420425415,0.06693994108107772
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.05432746668349908,0.04792674398774446,0.03419595132480048,0.030051649573581876
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09876807897543351,0.06266274303637286,0.08275417528050938,0.007057331222625596
0,-100.0,-92.5,-100.0,0.0,0.0,0.0,0.025729242176504463,0.03980190559654099,0.04087340736795267,0.0033272937525760217
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.08423348842996214,0.09661145542113404,0.0008611137795666024,0.015970839745551125
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09225302969938248,0.03913469703558963,0.05684489700815992,0.022052967496842525
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.023908370297453255,0.04236962838071508,0.0028826053960558707,0.0624692939558813
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.06493011626073145,0.015395207785155985,0.08162681767749543,0.04644643071698397
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.03863437521982458,0.08516709961720521,0.056892608756082465,0.07567462049267921
0,-92.5,-72.5,-97.5,0.0,0.0,0.0,0.0892248478100961,0.005788306563173729,0.07706414648949778,0.049355881775762916
0,-60.0,-90.0,-97.5,0.0,0.0,0.0,0.06088138923541725,0.08237387575048279,0.03184136084771951,0.09849477455364528
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.001507751610082997,0.06813983661360921,0.03642508781153262,0.04138343212902327
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.01241208544461302,0.01204184323262545,0.06537923923706919,0.042430304039897594
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0683790726071465,0.015494489577563698,0.06905453714040558,0.020145234784282862
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.020877284630419858,0.05667153853076219,0.06815163071139693,0.09244841366531244
0,15.5,-90.0,-95.0,0.5,0.0,0.0,0.07102578558760918,0.008511365619389399,0.07022876713072163,0.09913815563628953
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.05630370967527796,0.09890857269439167,0.06416623358586794,0.09501442450711373
0,15.5,-90.0,-95.0,0.5,0.0,0.0,0.07554920250601328,0.024705691050743384,0.022733722897726738,0.0032085244827793737
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.06840998626183961,0.03784737142032475,0.06413432314227034,0.09671623261751057
0,-85.0,-70.0,-95.0,0.0,0.0,0.0,0.049864948490433485,0.03032006869793549,0.08082585697394962,0.026213684190082333
0,-60.0,-90.0,-95.0,0.0,0.0,0.0,0.018982433691368816,0.033118938390080975,0.05915418580465436,0.05550593198740616
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.005476590355067357,0.025812306778732277,0.07857706736991095,0.02056682889963193
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.007817274847810486,0.05506846337232001,0.005774833048078354,0.022130529720330184
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0024936552506843682,0.03571118689048447,0.0514323927547435,0.08911753363082667
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0928578017167544,0.00794082975463506,0.045758872223073954,0.04091497778908142
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.09806529786770583,0.07442882269964382,0.04050954726076449,0.06567238111598944
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.025756675127290275,0.026256187415829958,0.04233065924540844,0.0762403600710499
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.03457244227386987,0.04666743916520695,0.021490075889951256,0.02443680047978495
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.037092399089319286,0.09940839913207303,0.08099948898092446,0.06910587274287201
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09354236733619521,0.042932559033111745,0.021239769617096473,0.03715446576009849
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.011691796530534416,0.06854183193549619,0.05683725143451601,0.00049044744267569
0,39.5,-90.0,-95.0,1.0,0.0,0.0,0.07795775033602798,0.011490323537429771,0.0968234752243207,0.029150340514324816
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.03448147963857925,0.06503198394681863,0.019300096542439707,0.028752873088376832
0,-72.5,-82.5,-92.5,0.0,0.0,0.0,0.01277485296787283,0.09120297643589745,0.0840519288744348,0.05666972753954556
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.05047537283456545,0.06071799802261623,0.08071646673790661,0.03699590788012437
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.0818072933932769,0.06415910746615616,0.0952257987572302,0.09964868130837914
0,-26.5,-67.5,-75.0,0.25,0.0,0.0,0.09422037447463114,0.016767439244008486,0.002587313242482825,0.02886712109288522
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.02874081978455675,0.0708171715600273,0.07937262700465436,0.08479872099694029
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.007887016821611503,0.05995853522156849,0.015353050113574785,0.06098702354797826
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.059001747954647014,0.09766445611190155,0.02198758455780986,0.027188334044225305
0,-42.5,-70.0,-95.0,0.0,0.0,0.0,0.08503442714326545,0.0507571210148275,0.0016224131213320781,0.009763400288626956
0,22.0,-90.0,-65.0,0.75,0.0,0.0,0.061802950806655266,0.03348623285620046,0.019938373193279457,0.03917307776531146
0,-3.5,-85.0,-77.5,0.25,0.0,0.0,0.022356570529471643,0.08392401987307836,0.08203482866289591,0.0067404061522869044
0,48.0,-70.0,-97.5,1.0,0.0,0.0,0.05530589560394035,0.08671717573043485,0.08312800727720393,0.006470569753397493
0,-27.5,-95.0,-100.0,0.0,0.0,0.0,0.006120086764582944,0.03551066343335581,0.04696330534123338,0.04569966633637821
