generation,gain_enemy_5,kill_enemy_5,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,0.0,0.27722009889564864,0.2504820591746837,0.2835990163045557,0.2638180967476476
0,-100.0,0.0,0.2017482133493374,0.10646196686335209,0.279234860436483,0.005061209990663507
0,-100.0,0.0,0.09494676320100796,0.006729118725882976,0.26049537203124634,0.17717715233875442
0,-100.0,0.0,0.13898561576556548,0.24283560568791632,0.002435469025534942,0.01735556855215914
0,-90.0,0.0,0.14581640850415858,0.09401824781046887,0.08475709389103538,0.01069596106831282
1,55.15000000000032,1.0,0.3,0.21717682885910822,0.3,0.21753769739980727
1,-43.799999999999685,0.0,0.19942898636728393,0.10985143696909572,0.25924322065580013,0.006747316727393349
1,-100.0,0.0,0.07994465629497122,0.006979824100795691,0.268429224028956,0.1609745879000617
1,-100.0,0.0,0.10230759614525851,0.2123919873628108,0.0023926371940384654,0.01967889712549226
1,-52.5,0.0,0.16998071409077325,0.07556376510861024,0.08758349469041533,0.010802185669059937
2,56.05000000000032,1.0,0.3,0.22301269511646216,0.3,0.1717270033334398
2,-50.099999999999696,0.0,0.2511894124023091,0.06914415739800112,0.07345179977150354,0.010506961280267665
2,-33.44999999999968,0.0,0.1451534290784727,0.13125598833101698,0.28952222385865517,0.007670043326516798
2,57.25000000000033,1.0,0.26769823893955125,0.22797332585519514,0.3,0.17219742061962579
2,56.50000000000032,1.0,0.26799380121229494,0.16411875105629392,0.2258787739534565,0.1577020980169845
3,56.650000000000325,1.0,0.2704195212782473,0.18404902756723984,0.3,0.16561084444829466
3,56.65000000000032,1.0,0.291262002150965,0.21390782845261175,0.3,0.16090207632895615
3,55.60000000000032,1.0,0.284357724568394,0.11551393790323294,0.23510323091787602,0.16998347048526113
3,55.45000000000032,1.0,0.23949783669397454,0.21761249857070974,0.2518467718531423,0.1661333164886489
3,57.10000000000033,1.0,0.2871934900084484,0.22115610125917312,0.2933119124387459,0.14213950207266526
4,58.45000000000033,1.0,0.2411440283380097,0.1970041025825808,0.3,0.21035942068991587
4,55.60000000000032,1.0,0.3,0.25291001367631794,0.3,0.16060567737313855
4,60.85000000000032,1.0,0.3,0.1253560693236139,0.19079404515017487,0.14228505706721528
4,53.950000000000315,1.0,0.19426573743284367,0.20946728221961883,0.17772814717312954,0.11412919677106313
4,56.95000000000032,1.0,0.2042779942345379,0.18980120622340252,0.2955435594449778,0.1301821546624761
5,56.050000000000324,1.0,0.24034385212316253,0.1565112571538192,0.3,0.24734980903321513
5,56.800000000000324,1.0,0.3,0.3,0.3,0.15664765059602911
5,56.05000000000029,1.0,0.3,0.1698557933024327,0.2428822387780016,0.15337098363631677
5,40.15000000000028,1.0,0.19669967122058002,0.16864395428057335,0.1622418124333752,0.09652445574350885
5,54.10000000000032,1.0,0.23216787382019416,0.22191293380148297,0.22636619202284428,0.11355297781771351
6,54.550000000000324,1.0,0.2825866159632529,0.2122471153127005,0.3,0.27853927402613754
6,55.30000000000032,1.0,0.25887501941151014,0.3,0.3,0.1816613803404339
6,82.45000000000016,1.0,0.3,0.18348374325182523,0.23692590103973393,0.2098805014821313
6,-38.79999999999971,0.0,0.20749512964142744,0.2010190615821285,0.20248360339099314,0.1271543139356627
6,56.050000000000324,1.0,0.2675405325842691,0.19414155571256397,0.2552569731008089,0.10125792858189993
7,56.35000000000032,1.0,0.3,0.18272023726784845,0.23170101693117917,0.3
7,62.65000000000032,1.0,0.3,0.2942984895592094,0.3,0.19377061112385027
7,38.6500000000003,0.0,0.21100050316932317,0.24902471581560162,0.19925512541305906,0.11762762061033068
7,54.700000000000315,1.0,0.3,0.23146065315466538,0.22475915911499472,0.0820462199818297
7,72.55000000000027,1.0,0.3,0.2237090907922251,0.26862888030530463,0.19376652482499285
8,55.30000000000032,1.0,0.29631734928350223,0.15832369534678922,0.27945364027622627,0.3
8,51.7000000000003,1.0,0.3,0.3,0.3,0.22240669982141661
8,55.900000000000325,1.0,0.24064723478006314,0.2036052138812899,0.2790852222436763,0.07137968218155272
8,76.75000000000023,1.0,0.3,0.27716519193724326,0.3,0.21034790331457315
8,57.10000000000032,1.0,0.27974259419390574,0.2852862919920103,0.20629813890296694,0.2733611580771374
9,54.700000000000315,1.0,0.3,0.19337897698624212,0.2984314816497272,0.2494593464966403
9,-51.4499999999997,0.0,0.3,0.3,0.2770405217038896,0.19981736619153506
9,57.70000000000033,1.0,0.2865139152163789,0.23441557450914063,0.21670837823930023,0.061526798016431995
9,67.75000000000028,1.0,0.3,0.3,0.2600759973665601,0.22462306621185724
9,56.20000000000033,1.0,0.20859565991561885,0.24915632646029698,0.244402719010038,0.3
10,55.90000000000032,1.0,0.3,0.15027517816298278,0.28691828142453346,0.1821888631466334
10,58.150000000000325,1.0,0.3,0.2653470548316667,0.24757552688539222,0.07279813839448447
10,74.65000000000023,1.0,0.3,0.3,0.3,0.17014133682963883
10,56.800000000000324,1.0,0.14536718684729744,0.3,0.15748899453732643,0.18841576319213318
10,58.750000000000334,1.0,0.3,0.17634450719951925,0.3,0.1993365174634228
11,58.00000000000033,1.0,0.2323630144494587,0.17107247257148583,0.3,0.1460429844218765
11,57.85000000000033,1.0,0.3,0.3,0.23913960679415697,0.08620163059486559
11,-39.84999999999975,0.0,0.3,0.29618095374845405,0.3,0.14889069191377202
11,55.45000000000032,1.0,0.11752962442323284,0.1917837012241718,0.11550275144707725,0.17208885153724063
11,55.15000000000032,1.0,0.3,0.21069198135506617,0.3,0.19269760837083916
12,57.400000000000325,1.0,0.2141041869534312,0.10038770803030536,0.22505937632277825,0.14513653551727626
12,57.10000000000033,1.0,0.2957595513089358,0.3,0.2721702578486572,0.07702204387702422
12,58.15000000000033,1.0,0.11803617058758137,0.17189218712608093,0.09748291096968568,0.15311602142550298
12,59.20000000000033,1.0,0.3,0.18947401665323743,0.2642420154752948,0.20356643566248855
12,56.800000000000324,1.0,0.3,0.19252538838562547,0.286356167432194,0.15243001523935176
13,56.05000000000032,1.0,0.15426864546139937,0.09863966062818805,0.1973587434050774,0.16180588699238102
13,55.90000000000032,1.0,0.3,0.25973905701920413,0.27013425026871907,0.06412930205154181
13,57.10000000000032,1.0,0.09850943072042681,0.17159611567043093,0.0801036136543362,0.15240603522316373
13,56.50000000000032,1.0,0.2571297049385664,0.14953547492668556,0.3,0.17143763009100912
13,56.95000000000032,1.0,0.3,0.1720667219374148,0.3,0.13294169511898815
14,55.75000000000033,1.0,0.17078162858372442,0.08668674990248704,0.23706255963997688,0.19218915738751507
14,56.35000000000032,1.0,0.3,0.3,0.3,0.08265470819120836
14,58.60000000000033,1.0,0.07182062603752568,0.1818852516649566,0.06608564285445395,0.1361856064785189
14,56.800000000000324,1.0,0.29579326287637125,0.11184068683673595,0.2425805271478317,0.19180188378487129
14,55.00000000000032,1.0,0.3,0.16180399740986878,0.3,0.12026415898841994
15,55.75000000000032,1.0,0.1445781806794816,0.07563212510013036,0.2131069356847353,0.2074065701026327
15,56.95000000000033,1.0,0.2635500265694364,0.2989752357827935,0.24052802160416023,0.10323044580240891
15,59.650000000000325,1.0,0.08028085296534716,0.1587061839651327,0.10182467340453018,0.1381656983092889
15,55.75000000000033,1.0,0.2782681420746825,0.11258759424966618,0.207802110963523,0.19469757183988848
15,54.700000000000315,1.0,0.3,0.18441680916113773,0.3,0.15460826918971435
16,58.150000000000325,1.0,0.1404311262686536,0.09710629659633828,0.2643406965319278,0.2166004642010427
16,57.70000000000033,1.0,0.2483467200799726,0.3,0.25812757438793205,0.07754216820209416
16,58.75000000000033,1.0,0.08182585853874126,0.16015931762082658,0.0935976684322202,0.1344892220661006
16,56.20000000000032,1.0,0.2961078147788206,0.1205971733374335,0.22617064481616359,0.17136168046819975
16,56.800000000000324,1.0,0.3,0.13428866327852249,0.28101087892884524,0.15155877167806425
17,53.50000000000031,1.0,0.13258863188988723,0.07059157002866337,0.24437694974833005,0.14552398620602694
