generation,gain_enemy_5,kill_enemy_5,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,0.0,0.026796400446286516,0.24373294507571472,0.21037868547086017,0.22470630903485125
0,-21.299999999999798,0.0,0.05046812694766297,0.04187332286381855,0.14144596837594,0.17327509180052125
0,54.70000000000032,1.0,0.25660135118867095,0.05348956408271773,0.09489912150485974,0.20418058028244077
0,-100.0,0.0,0.24892162953507502,0.05557794725479089,0.22820480321829822,0.03639546959205629
0,-66.14999999999972,0.0,0.2789005890286715,0.016657263263755172,0.050931782958083226,0.26498201551319917
1,36.85000000000028,1.0,0.023584447906946648,0.1941571139649342,0.16579401559627407,0.28308380787296683
1,-100.0,0.0,0.05223919961193372,0.052049940233278656,0.21126363877962173,0.138396857819843
1,55.15000000000032,1.0,0.1737066858489687,0.04939359694469184,0.07287626434564942,0.14783215713684383
1,-87.5,0.0,0.2746640012104197,0.061197309756632776,0.3,0.04265038485423427
1,-49.79999999999969,0.0,0.24202500287021173,0.01412863784815817,0.06000903438082712,0.2723287898085467
2,33.25000000000027,1.0,0.029955492868676523,0.19734481246057872,0.10450864235622531,0.2537386535330002
2,57.550000000000324,1.0,0.1779664653110114,0.06040628981433756,0.11100419664373981,0.15799803936599655
2,-46.19999999999968,0.0,0.3,0.0665658676252549,0.2943697650207027,0.04695906415227619
2,-27.149999999999743,0.0,0.3,0.013568002234837197,0.058305658647908855,0.3
2,34.45000000000027,1.0,0.09251110649348107,0.15366728446561054,0.10052381685741071,0.21050740623357253
3,37.00000000000028,1.0,0.03440752410992098,0.1799111760345357,0.12308431256018745,0.20411416585799147
3,56.20000000000032,1.0,0.2086688573742622,0.06492064293030282,0.13850382369014544,0.13505656364465185
3,31.000000000000263,1.0,0.1002689225896101,0.16939343520746447,0.11296016885046586,0.148089301376966
3,-71.09999999999974,0.0,0.2762254115155433,0.014023678927794384,0.05653503060930889,0.26787105475715756
3,56.95000000000032,1.0,0.20415486447100942,0.05180784707071797,0.11998867517427747,0.11916176746825814
4,-61.34999999999972,0.0,0.02299400121137537,0.1549576715777239,0.11526368235078828,0.23188065601035698
4,55.600000000000314,1.0,0.2168275817655852,0.0719494978182888,0.1417264858764545,0.1409773077183089
4,27.400000000000254,1.0,0.10865703634636611,0.12630600693598365,0.09730378382175216,0.13119526455585678
4,58.00000000000033,1.0,0.21430706146411982,0.04671112439465409,0.1633172785729838,0.1173433488081279
4,33.100000000000264,1.0,0.04131136472750807,0.1946545217032428,0.15259852222246043,0.27008646026936484
5,54.85000000000032,1.0,0.24739219339597915,0.089800094266261,0.16073175388548575,0.149605326765313
5,28.000000000000256,1.0,0.11034219544572006,0.11418342550586386,0.11674144350497073,0.08569380901622167
5,55.300000000000324,1.0,0.19311314831243315,0.04945905113213166,0.11208665366867408,0.13948182755084518
5,-22.74999999999976,0.0,0.04781955451434334,0.20991206082384906,0.13488763506763685,0.27626028813214243
5,55.75000000000032,1.0,0.17459376492866507,0.08303708793067277,0.10951199099524868,0.18722037292557347
6,55.60000000000032,1.0,0.22304026280676342,0.09475073802873277,0.18197671713987368,0.18020162995983602
6,29.65000000000026,1.0,0.10165053342238857,0.09976311736200096,0.1410690687193553,0.08829945343620844
6,55.90000000000032,1.0,0.3,0.055878578940565554,0.09194170025962364,0.20084363850476322
6,58.00000000000033,1.0,0.15552112734621606,0.10056179181900482,0.10784753485238452,0.18490157052846898
6,55.00000000000032,1.0,0.27380358285836964,0.04971175512066495,0.10687364931474057,0.15908533709111608
7,55.90000000000032,1.0,0.21838663268774147,0.08557214100771683,0.1843333263370991,0.14975504372959927
7,29.65000000000026,1.0,0.1118413476512075,0.08347389444994607,0.17414124852944207,0.10003548904570375
7,57.400000000000325,1.0,0.2783572959153809,0.05394929534025302,0.10289767323259222,0.17093564705900133
7,58.75000000000033,1.0,0.18676656202090447,0.1055521742237479,0.11289346931807927,0.17780013924341823
7,57.550000000000324,1.0,0.26099942311424745,0.06152147576670632,0.09710533165395532,0.1922433505407372
8,56.35000000000032,1.0,0.22366011303564415,0.06423374315935147,0.22212194660888487,0.15594083617389667
8,33.55000000000027,1.0,0.1216355503677733,0.08106914550578953,0.23294665303641718,0.08425250987849155
8,53.200000000000315,1.0,0.3,0.06117159126117259,0.10767704069664187,0.19643410549558496
8,54.700000000000315,1.0,0.21393162191105852,0.12547977028550658,0.12476867385486858,0.16453674300292273
8,56.95000000000032,1.0,0.26715401368003955,0.06057549286655611,0.07790723048557022,0.19439180667177328
9,55.15000000000032,1.0,0.3,0.06781039265308035,0.22576237483730555,0.1461084837824696
9,31.450000000000266,1.0,0.13401979054347893,0.06779876606422662,0.2865104680193409,0.09656834161432389
9,56.20000000000032,1.0,0.24749793911612325,0.04802299558558422,0.1362190151510874,0.13156843680360136
9,56.050000000000324,1.0,0.2233955276477886,0.13144098426080839,0.1307021447271696,0.13798104572581013
9,57.25000000000033,1.0,0.2626230724839329,0.05244297968038892,0.08904359220218293,0.21234082790303638
10,56.20000000000032,1.0,0.3,0.06440169136411544,0.17791365641710583,0.15905245292677506
10,34.15000000000027,1.0,0.17655432938439833,0.0687448759139712,0.3,0.11281001575287357
10,57.70000000000033,1.0,0.22714375776232124,0.05011219231996434,0.12744328435999366,0.16409132028835777
10,55.15000000000032,1.0,0.172684629001402,0.14069703027376115,0.10828672248857446,0.09387386554198542
10,57.10000000000032,1.0,0.245091036134563,0.061427407343864135,0.09890930779365953,0.23783498828442004
11,56.20000000000032,1.0,0.25203050322538756,0.06824249691193646,0.1808278104348076,0.14790482505537494
11,29.50000000000026,1.0,0.18326056669657192,0.0920944372932161,0.2569488267340989,0.1090537031135636
11,57.85000000000033,1.0,0.22150746392916623,0.060827158655439244,0.1274540436239633,0.1898942382009008
11,55.300000000000324,1.0,0.1954609771118574,0.18646682882615612,0.13550261926872612,0.0681021470164387
11,55.60000000000032,1.0,0.3,0.06108611503641889,0.12109776876957666,0.21164504961505184
12,55.90000000000032,1.0,0.20788887432037192,0.08028087537753205,0.2578827875863568,0.11791379817911747
12,35.800000000000274,1.0,0.21444096071532037,0.1025138180863299,0.24378459302191396,0.1361173357241548
12,54.25000000000031,1.0,0.23764152399941432,0.07075110669243455,0.12969642504557322,0.21267022384084003
