generation,gain_enemy_2,gain_enemy_6,gain_enemy_7,gain_enemy_8,kill_enemy_2,kill_enemy_6,kill_enemy_7,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.22154843621205997,0.12013651587046534,0.27300127851711975,0.016893346470916948
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.10477313080386787,0.044517414113347316,0.1368419119489919,0.2571739443917888
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.06456553439227684,0.11769023389723147,0.22427932157351912,0.16779449323325982
0,9.0,-60.0,-50.0,-90.0,0.75,0.0,0.0,0.0,0.14619312430655915,0.2904528039412198,0.08024277960465004,0.2923470298601398
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.10206831583284581,0.29505686392170294,0.17823411287835553,0.05263022319992454
0,-100.0,-98.09999999999977,-100.0,-100.0,0.0,0.0,0.0,0.0,0.1694450091802673,0.031539287967597286,0.0038851493722083406,0.2453596495377009
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.059628738492099584,0.06148375730548073,0.002650142609092576,0.05004083060731744
0,-40.0,-90.0,-80.0,-85.0,0.0,0.0,0.0,0.0,0.08391263668591618,0.09586520760200452,0.15375299765959452,0.011490476156696405
0,-32.5,-95.0,-95.0,-82.5,0.0,0.0,0.0,0.0,0.2988458304577114,0.13187939865959517,0.22656780298655,0.21858515922088154
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.14701802255597038,0.09559015407753808,0.2192480439582113,0.08051429084610008
0,74.0,-92.5,-30.0,-90.0,1.0,0.0,0.0,0.0,0.09727452034274256,0.2769032006242518,0.289752178411222,0.08503743153166021
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.2534679671937265,0.18215074843765783,0.22920533782495997,0.2513877715201802
0,-70.0,-97.5,-97.5,-80.0,0.0,0.0,0.0,0.0,0.18471636272732656,0.19913388470972698,0.1055176746387594,0.10818055596878412
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.29073505532530997,0.20643320493927717,0.22696158036678185,0.1435271308383228
0,25.0,-75.0,-35.0,-80.0,0.75,0.0,0.0,0.0,0.05188263950130564,0.076055516709707,0.02481804276652604,0.12040688324959559
0,-77.5,-95.0,-90.0,-90.0,0.0,0.0,0.0,0.0,0.28209440888066295,0.16710658867858005,0.15172631501824854,0.2230145620177248
0,-82.5,-95.0,-97.5,-85.0,0.0,0.0,0.0,0.0,0.25683247118951463,0.043529288315389825,0.2161322289688136,0.08591812034384796
0,-47.5,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.29274707671137107,0.05382154875239107,0.0995809522073773,0.11344826384244187
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.25779162433398495,0.27951394843880273,0.23381551628387956,0.11241624557915669
0,-92.5,-100.0,-100.0,-95.0,0.0,0.0,0.0,0.0,0.24646280503077048,0.12042725838604383,0.2733742014919583,0.2548916409697329
0,45.0,-80.0,-15.799999999999876,25.75000000000025,1.0,0.0,0.5,1.0,0.005020798966053663,0.048917459684403926,0.004670753575802544,0.15132044260979702
0,15.5,-95.0,-55.0,29.05000000000026,0.5,0.0,0.0,1.0,0.10497458535350915,0.06900823565184129,0.2893788478607148,0.1047823447295176
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.11162309640060165,0.2843731094777461,0.04194888294227469,0.005649733086567121
