generation,gain_enemy_2,gain_enemy_6,kill_enemy_2,kill_enemy_6,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,0.0,0.0,0.2719330911841094,0.27623394088964187,0.16760055796089765,0.1381122797367352
0,-100.0,-100.0,0.0,0.0,0.18001934707643896,0.226487372170997,0.13582037734553903,0.2786505639253177
0,-100.0,-100.0,0.0,0.0,0.08137228909047617,0.0374119449957094,0.2991609677811794,0.15673296289412095
0,53.0,-97.5,0.75,0.0,0.12507118207471546,0.08395718959664623,0.04830121522890981,0.29362673795845806
0,-100.0,-100.0,0.0,0.0,0.05856207286936357,0.23206008859799845,0.26205128207925166,0.254431715495384
0,-32.5,-95.0,0.0,0.0,0.14267620398353298,0.25524260980283864,0.031109103608119314,0.15868046646299044
0,-100.0,-100.0,0.0,0.0,0.07857420285667152,0.18286466113740363,0.17837971001676278,0.2599460333188631
0,-77.5,-97.5,0.0,0.0,0.08982245711593471,0.14638399291247078,0.25393354173781774,0.0015224482940640494
0,-82.5,-95.0,0.0,0.0,0.06779598362948212,0.21078606307095063,0.01769610025806154,0.12259045885947327
0,-90.0,-97.5,0.0,0.0,0.12094652219062528,0.16316095039530057,0.083528256733301,0.1284530137755683
0,-60.0,-90.0,0.0,0.0,0.24278309740690177,0.20932910687692938,0.24274387601858602,0.1928211268502269
0,-100.0,-100.0,0.0,0.0,0.03289570823816542,0.29748862836851603,0.2063490095540793,0.2800531931602901
0,15.5,-95.0,0.5,0.0,0.11060758351205054,0.10741993821950503,0.2940544677844486,0.08032512194023829
0,-100.0,-100.0,0.0,0.0,0.28824971968285007,0.045971651592893514,0.03621012684178125,0.05150451186113033
0,-100.0,-100.0,0.0,0.0,0.20947766040068072,0.281917376714777,0.08518011610779802,0.06162414557738238
0,6.5,-95.0,0.5,0.0,0.20481579492299742,0.05407808151193879,0.28686090280028864,0.23289461285024524
0,46.5,-87.5,1.0,0.0,0.268665480251661,0.15808335102868748,0.24023739227172158,0.22310794735073605
0,-72.5,-95.0,0.0,0.0,0.140057062187106,0.07706272325139046,0.2724531257893721,0.10415309815380693
0,-47.5,-95.0,0.0,0.0,0.022834828014742847,0.18213990862387835,0.15600821067235565,0.28379408170341724
0,-100.0,-100.0,0.0,0.0,0.05760284597956419,0.0008145431457027508,0.08840536812226353,0.06490268496366275
