generation,gain_enemy_2,gain_enemy_6,kill_enemy_2,kill_enemy_6,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,0.0,0.0,0.031037827367092295,0.187649261002477,0.186089607301859,0.2078992892110924
0,-100.0,-100.0,0.0,0.0,0.24887365879677414,0.20833765228510473,0.2400007215550591,0.17266510590397469
0,-100.0,-100.0,0.0,0.0,0.27372971137473945,0.2326541354023754,0.14192984195671632,0.10574695203942834
0,-47.5,-95.0,0.0,0.0,0.11591745988930484,0.0660293326687731,0.18862293026375432,0.1101466810107843
0,-100.0,-100.0,0.0,0.0,0.24703920841042684,0.23264625569251518,0.0682641132613064,0.19275100079354915
0,-82.5,-85.0,0.0,0.0,0.13060435892479497,0.21893386828279923,0.22701177362184605,0.05615711497676207
0,-77.5,-95.0,0.0,0.0,0.23503683341293663,0.13402837664292272,0.1163382321675173,0.15906017885558485
0,-100.0,-100.0,0.0,0.0,0.15339153552921717,0.22651991917137762,0.1275267438034868,0.16943693501934468
0,-100.0,-100.0,0.0,0.0,0.2586783522479605,0.07670005714537804,0.19432293886892174,0.24979778662935345
0,-100.0,-100.0,0.0,0.0,0.20400909281754856,0.2620478810243671,0.2857516876719859,0.1149371980365461
0,-100.0,-100.0,0.0,0.0,0.07563141462428441,0.1249910102622607,0.2418094952573837,0.17484021828692808
0,-67.5,-95.0,0.0,0.0,0.2621910031947316,0.17881899803803522,0.26535940461525503,0.09719207873639497
0,-100.0,-100.0,0.0,0.0,0.1948987003200367,0.0075233301194877365,0.03317502294728305,0.20208492041257972
0,-100.0,-100.0,0.0,0.0,0.18826662965031504,0.10583343665837018,0.26786779773025404,0.07924005535829025
0,-100.0,-100.0,0.0,0.0,0.25367356185223283,0.2720173362446578,0.011128084807458782,0.14444905543890488
0,-100.0,-100.0,0.0,0.0,0.11909665859926837,0.2195206203965033,0.16530053794286922,0.008615717261791778
0,-100.0,-100.0,0.0,0.0,0.04018079044413445,0.07248776520363524,0.20175443860395367,0.16937413369522655
0,15.5,-95.0,0.5,0.0,0.03978425762386149,0.17340121275223552,0.12314355164795043,0.12926697649499108
0,-100.0,-100.0,0.0,0.0,0.06911693449482605,0.045374439016848796,0.21546369870510454,0.09108615361710756
0,-100.0,-100.0,0.0,0.0,0.282118250013622,0.04602378184152427,0.10317072127227966,0.20254717464632285
0,-95.0,-80.0,0.0,0.0,0.2346801916372579,0.23073533430541826,0.0762153644543544,0.03247795090906342
0,-100.0,-100.0,0.0,0.0,0.13585178885643007,0.2227537416035445,0.17077174013860322,0.26453338607715016
0,-100.0,-100.0,0.0,0.0,0.24939799372386473,0.24477570856000724,0.27917447840014376,0.26869458708086447
0,-100.0,-100.0,0.0,0.0,0.24333278804846703,0.1874187594463769,0.03909403187859305,0.024565873602735076
0,6.0,-95.0,0.5,0.0,0.14906392067721957,0.15205729509452445,0.2988576475008023,0.03444206416904816
0,-100.0,-100.0,0.0,0.0,0.07905319989003973,0.12760612846652944,0.1475194622059561,0.21505349415062755
0,-100.0,-100.0,0.0,0.0,0.26830244271367004,0.08179884356237975,0.13900442443777614,0.08935091383367995
0,-87.5,-100.0,0.0,0.0,0.16591454455082416,0.2784662616192101,0.19791244573220465,0.023178245247605155
0,-100.0,-100.0,0.0,0.0,0.14437245502264454,0.05422840245356229,0.0718532403206674,0.13571789681700572
0,-100.0,-100.0,0.0,0.0,0.04488208399764447,0.17915677780537503,0.13392020312051228,0.11399245346607996
0,-100.0,-100.0,0.0,0.0,0.2535934782556133,0.11425506015126803,0.10010562089341171,0.25024110584054793
0,-100.0,-100.0,0.0,0.0,0.03654405863180501,0.25817200266892537,0.11377482643149792,0.10027031242831433
0,-100.0,-100.0,0.0,0.0,0.11643893377593866,0.08174986390529392,0.06729189032159656,0.04312372692882277
0,-100.0,-100.0,0.0,0.0,0.14537364650159929,0.14834562338343618,0.03506693532577541,0.049201425349976624
0,-100.0,-100.0,0.0,0.0,0.21864777380377196,0.05164404638595138,0.18524722277563674,0.03637425480142181
0,-100.0,-100.0,0.0,0.0,0.04527272906563758,0.03469426014189359,0.1498774228398841,0.24175237602095917
0,69.0,-52.5,1.0,0.0,0.14266061835199068,0.14609440866683515,0.0955481695672014,0.19342001455592184
0,-100.0,-100.0,0.0,0.0,0.15310751796858296,0.07351076704380057,0.16866272114824812,0.1903125717411273
0,-52.5,-95.0,0.0,0.0,0.1063039006151786,0.1808084794358581,0.1383645982850647,0.03673649463582709
0,-100.0,-100.0,0.0,0.0,0.21736520486776395,0.059346307325654685,0.24518156149415773,0.08825042024427684
0,-47.5,-95.0,0.0,0.0,0.14756831109687124,0.009120072000988133,0.02516666177676019,0.11851303517326385
0,-100.0,-100.0,0.0,0.0,0.059850417630857564,0.24748290119005933,0.1715106810618409,0.03389903859075628
0,-100.0,-100.0,0.0,0.0,0.001714336122406712,0.18746067117768,0.09919586061673087,0.18647554861942206
0,-100.0,-100.0,0.0,0.0,0.16347349860593355,0.22145850761086772,0.010201294224013968,0.19882198341401974
0,-97.5,-100.0,0.0,0.0,0.1796980735321233,0.10892865215329357,0.09298696222364831,0.1734638633285822
0,-100.0,-100.0,0.0,0.0,0.2539777330605505,0.12330832169116523,0.024400748609319844,0.06394808998867152
0,-100.0,-100.0,0.0,0.0,0.1722572557441128,0.04898881564110624,0.01786179717424775,0.06657639073435753
0,-40.0,-100.0,0.0,0.0,0.13632282365250692,0.10313433764420808,0.24088818194283965,0.2890569878304517
0,15.5,-95.0,0.5,0.0,0.2037311136611167,0.09272571085990862,0.01570034511505757,0.0035874028243474297
0,-100.0,-100.0,0.0,0.0,0.2595871989228723,0.2315174552758514,0.06369262654406511,0.03663211666955949
0,-26.0,-95.0,0.25,0.0,0.21730008932412562,0.11889512993606263,0.14196824798005309,0.25098449660634914
0,15.5,-95.0,0.5,0.0,0.005625263577312589,0.1229499586839567,0.20316948306921997,0.1339353625564246
0,-100.0,-100.0,0.0,0.0,0.2568461850193028,0.05414944806068821,0.056738552884851495,0.2978813559650401
0,74.0,-92.5,1.0,0.0,0.14145468090343652,0.2632759412417969,0.04401033868935684,0.07658326374904771
0,-100.0,-100.0,0.0,0.0,0.14614609748992946,0.2523209294873524,0.1770904416092196,0.29049250263336207
0,6.0,-95.0,0.5,0.0,0.264665018288078,0.12815492163070333,0.22922478043819938,0.24215640823385598
0,-97.5,-100.0,0.0,0.0,0.25901786293403556,0.1765591150213205,0.18601932537892227,0.04447835783995099
0,-65.0,-95.0,0.0,0.0,0.1375423367561442,0.14401785933147815,0.1857135581572966,0.14731923796699495
0,-100.0,-100.0,0.0,0.0,0.2709262568864612,0.15525292977312782,0.15768385557948325,0.14681772268962484
0,-80.0,-95.0,0.0,0.0,0.02863514489151556,0.11640488625965995,0.05072350392482333,0.2957225726029125
0,6.0,-95.0,0.5,0.0,0.0381320920967978,0.0734502158227668,0.2324488292242925,0.24332609199895489
0,-100.0,-100.0,0.0,0.0,0.1455482194949734,0.17975063618519646,0.18770699661153833,0.2365983556102232
0,-100.0,-100.0,0.0,0.0,0.22338465370451807,0.161235212642642,0.13067224160966195,0.2423408326154515
0,15.5,-95.0,0.5,0.0,0.2714791373400223,0.17763764808995813,0.270729516639355,0.21346830258901955
0,-100.0,-100.0,0.0,0.0,0.12325804634113002,0.26243932553696087,0.07328847785469206,0.005286347501131494
0,-100.0,-100.0,0.0,0.0,0.2859174945382548,0.06795100727173765,0.2356175027904571,0.009740490106262966
0,15.5,-95.0,0.5,0.0,0.2241789784553363,0.029971270747378084,0.06985722051643206,0.12370342089246436
0,-47.5,-95.0,0.0,0.0,0.05722812098146246,0.24766903847943467,0.12093077251026418,0.1929633352182977
0,-60.0,-95.0,0.0,0.0,0.19516741788652098,0.11282234939542357,0.2566019278449155,0.14423883465999063
0,-100.0,-100.0,0.0,0.0,0.056322483588058136,0.006166126290198959,0.09029137907598368,0.10971812997642498
0,-95.0,-100.0,0.0,0.0,0.06797784515159136,0.1767961438153767,0.00449148276676008,0.09282314341168259
0,15.5,-95.0,0.5,0.0,0.17511397419948618,0.14486621632271776,0.06740518655232848,0.2301188099211938
0,6.0,-95.0,0.5,0.0,0.08831086824000296,0.1752879941236103,0.2702342957678468,0.20164345369442446
0,-100.0,-100.0,0.0,0.0,0.23607032156116384,0.05679096118347392,0.23017764723985815,0.250079447775453
0,8.5,-57.5,0.5,0.0,0.13917904143481852,0.29019739327931793,0.048674401346660866,0.29102897429707797
0,-100.0,-100.0,0.0,0.0,0.18474909589879823,0.15959366649862028,0.1735526280253605,0.013729910036620307
0,-100.0,-100.0,0.0,0.0,0.0780876975552494,0.19714680107706045,0.19600579684727482,0.07782476476344848
0,25.5,-82.5,0.75,0.0,0.2563943442649712,0.11528323299869195,0.06675245981462966,0.0956685406011298
0,-95.0,-100.0,0.0,0.0,0.23170363737700814,0.06095728550454383,0.16509176333001427,0.2570419354703942
